k,attack_type,attack_id,truth_count,precision,recall,f1,jaccard
150,Procedure,S0467,285,0.5066666666666667,0.26666666666666666,0.34942528735632183,0.2116991643454039
200,Procedure,S0467,285,0.525,0.3684210526315789,0.4329896907216495,0.27631578947368424
10,Procedure,S0380,137,0.2,0.014598540145985401,0.027210884353741496,0.013793103448275862
20,Procedure,S0380,137,0.35,0.051094890510948905,0.08917197452229299,0.04666666666666667
30,Procedure,S0380,137,0.3333333333333333,0.072992700729927,0.11976047904191617,0.06369426751592357
40,Procedure,S0380,137,0.3,0.08759124087591241,0.13559322033898305,0.07272727272727272
50,Procedure,S0380,137,0.28,0.10218978102189781,0.14973262032085563,0.08092485549132948
100,Procedure,S0380,137,0.28,0.20437956204379562,0.23628691983122366,0.1339712918660287
150,Procedure,S0380,137,0.2733333333333333,0.29927007299270075,0.28571428571428564,0.16666666666666666
200,Procedure,S0380,137,0.245,0.35766423357664234,0.29080118694362017,0.1701388888888889
10,Procedure,S0496,197,0.4,0.02030456852791878,0.03864734299516908,0.019704433497536946
20,Procedure,S0496,197,0.45,0.04568527918781726,0.08294930875576037,0.04326923076923077
30,Procedure,S0496,197,0.4,0.06091370558375635,0.10572687224669604,0.05581395348837209
40,Procedure,S0496,197,0.425,0.08629441624365482,0.14345991561181434,0.07727272727272727
50,Procedure,S0496,197,0.46,0.116751269035533,0.1862348178137652,0.10267857142857142
100,Procedure,S0496,197,0.36,0.18274111675126903,0.24242424242424243,0.13793103448275862
150,Procedure,S0496,197,0.35333333333333333,0.26903553299492383,0.30547550432276654,0.18027210884353742
200,Procedure,S0496,197,0.325,0.3299492385786802,0.32745591939546603,0.19578313253012047
10,Technique,T1027,126,0.3,0.023809523809523808,0.044117647058823525,0.022556390977443608
20,Technique,T1027,126,0.35,0.05555555555555555,0.09589041095890409,0.050359712230215826
30,Technique,T1027,126,0.4,0.09523809523809523,0.15384615384615385,0.08333333333333333
40,Technique,T1027,126,0.3,0.09523809523809523,0.14457831325301204,0.07792207792207792
50,Technique,T1027,126,0.28,0.1111111111111111,0.1590909090909091,0.08641975308641975
100,Technique,T1027,126,0.26,0.20634920634920634,0.23008849557522124,0.13
150,Technique,T1027,126,0.26666666666666666,0.31746031746031744,0.2898550724637681,0.1694915254237288
200,Technique,T1027,126,0.235,0.373015873015873,0.2883435582822086,0.16845878136200718
10,Procedure,G0106,179,0.2,0.0111731843575419,0.021164021164021166,0.0106951871657754
20,Procedure,G0106,179,0.3,0.0335195530726257,0.06030150753768844,0.031088082901554404
30,Procedure,G0106,179,0.3333333333333333,0.055865921787709494,0.09569377990430622,0.05025125628140704
40,Procedure,G0106,179,0.3,0.0670391061452514,0.10958904109589042,0.057971014492753624
50,Procedure,G0106,179,0.26,0.07262569832402235,0.11353711790393015,0.06018518518518518
100,Procedure,G0106,179,0.32,0.1787709497206704,0.22939068100358423,0.12955465587044535
150,Procedure,G0106,179,0.32,0.2681564245810056,0.2917933130699088,0.1708185053380783
200,Procedure,G0106,179,0.34,0.37988826815642457,0.3588390501319261,0.21864951768488747
10,Procedure,S0165,72,0.0,0.0,0.0,0.0
20,Procedure,S0165,72,0.1,0.027777777777777776,0.04347826086956522,0.022222222222222223
30,Procedure,S0165,72,0.13333333333333333,0.05555555555555555,0.0784313725490196,0.04081632653061224
40,Procedure,S0165,72,0.1,0.05555555555555555,0.07142857142857142,0.037037037037037035
50,Procedure,S0165,72,0.12,0.08333333333333333,0.09836065573770492,0.05172413793103448
100,Procedure,S0165,72,0.08,0.1111111111111111,0.09302325581395349,0.04878048780487805
150,Procedure,S0165,72,0.12,0.25,0.16216216216216217,0.08823529411764706
200,Procedure,S0165,72,0.14,0.3888888888888889,0.20588235294117646,0.11475409836065574
10,Procedure,G0124,144,0.3,0.020833333333333332,0.03896103896103896,0.019867549668874173
20,Procedure,G0124,144,0.35,0.04861111111111111,0.08536585365853658,0.044585987261146494
30,Procedure,G0124,144,0.4666666666666667,0.09722222222222222,0.16091954022988508,0.0875
40,Procedure,G0124,144,0.45,0.125,0.1956521739130435,0.10843373493975904
50,Procedure,G0124,144,0.36,0.125,0.18556701030927836,0.10227272727272728
100,Procedure,G0124,144,0.3,0.20833333333333334,0.24590163934426232,0.14018691588785046
150,Procedure,G0124,144,0.2733333333333333,0.2847222222222222,0.2789115646258503,0.16205533596837945
200,Procedure,G0124,144,0.285,0.3958333333333333,0.3313953488372093,0.1986062717770035
10,Procedure,S0281,7,0.0,0.0,0.0,0.0
20,Procedure,S0281,7,0.05,0.14285714285714285,0.07407407407407408,0.038461538461538464
30,Procedure,S0281,7,0.03333333333333333,0.14285714285714285,0.05405405405405406,0.027777777777777776
40,Procedure,S0281,7,0.025,0.14285714285714285,0.0425531914893617,0.021739130434782608
50,Procedure,S0281,7,0.02,0.14285714285714285,0.03508771929824562,0.017857142857142856
100,Procedure,S0281,7,0.01,0.14285714285714285,0.018691588785046728,0.009433962264150943
150,Procedure,S0281,7,0.006666666666666667,0.14285714285714285,0.012738853503184716,0.00641025641025641
200,Procedure,S0281,7,0.005,0.14285714285714285,0.00966183574879227,0.0048543689320388345
10,Procedure,S0415,103,0.3,0.02912621359223301,0.05309734513274337,0.02727272727272727
20,Procedure,S0415,103,0.25,0.04854368932038835,0.08130081300813008,0.0423728813559322
30,Procedure,S0415,103,0.23333333333333334,0.06796116504854369,0.10526315789473682,0.05555555555555555
40,Procedure,S0415,103,0.2,0.07766990291262135,0.11188811188811187,0.05925925925925926
50,Procedure,S0415,103,0.22,0.10679611650485436,0.14379084967320263,0.07746478873239436
100,Procedure,S0415,103,0.24,0.23300970873786409,0.23645320197044334,0.1340782122905028
150,Procedure,S0415,103,0.23333333333333334,0.33980582524271846,0.2766798418972332,0.16055045871559634
200,Procedure,S0415,103,0.235,0.4563106796116505,0.3102310231023102,0.18359375
10,Procedure,G0091,143,0.1,0.006993006993006993,0.0130718954248366,0.006578947368421052
20,Procedure,G0091,143,0.2,0.027972027972027972,0.049079754601226995,0.025157232704402517
30,Procedure,G0091,143,0.23333333333333334,0.04895104895104895,0.08092485549132948,0.04216867469879518
40,Procedure,G0091,143,0.275,0.07692307692307693,0.12021857923497267,0.06395348837209303
50,Procedure,G0091,143,0.28,0.0979020979020979,0.14507772020725387,0.0782122905027933
